date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood
2017-01-15 03:24:53,RS1070113,107,Senate,113,2001-05-17,,27,73,To begin the phase-in of the elimination of the marriage penalty in the standard deduction in 2002 and to offset the revenue loss.,Tax rates,,Budget General Interest,,Government Management,-2.620124964268538,0.8271068730347697,0.055,0.683,-0.135,-0.298,0.333,0.82,-37.131302
2017-01-15 03:24:53,RS1070114,107,Senate,114,2001-05-17,,43,55,To increase the deduction for higher education expenses for certain taxpayers and to increase the tax credit for student loan interest.,Tax rates,Education,Budget General Interest,,Government Management,-56.344269124088726,-6.609656564014736,-0.121,0.208,0.302,0.031,0.837,0.929,-16.459188
2017-01-15 03:24:53,RS1070115,107,Senate,115,2001-05-21,,47,51,To provide a temporary reduction in the maximum capital gains rate from 20 percent to 15 percent.,Tax rates,,Budget General Interest,,Government Management,-30.36433708591206,0.7267209662267915,-0.009,1.0,-0.189,-0.036,0.745,0.878,-33.125795
2017-01-15 03:24:53,RS1070116,107,Senate,116,2001-05-21,,48,50,To provide a marginal tax rate reduction for all taxpayers.,Tax rates,,Budget General Interest,,Government Management,24.029826854837427,0.09189640637101526,0.037,0.981,0.349,-0.084,0.958,0.98,-11.657247
2017-01-15 03:24:53,RS1070117,107,Senate,117,2001-05-21,,48,51,To delay the reduction of the top income tax rate for individuals until a real Medicare prescription drug benefit is enacted.,Tax rates,,Budget General Interest,Domestic Social Policy,Government Management,-8.746635741375135,-0.5554078904820237,-0.176,0.984,0.369,0.244,0.896,0.949,-15.751929
2017-01-15 03:24:53,RS1070118,107,Senate,118,2001-05-21,,49,50,To preserve and protect the surpluses by providing a trigger to delay tax reductions and mandatory spending increases and limit discretionary spending if certain deficit targets are not met over the next 10 years.,Tax rates,,Budget General Interest,,Government Management,-8.0166242577634,-0.1789501272267098,0.003,-0.203,0.219,0.158,0.816,0.909,-20.734414
2017-01-15 03:24:53,RS1070119,107,Senate,119,2001-05-21,,35,64,To provide for a substitute amendment which amends the Internal Revenue Code of 1986 to provide for a 10-percent income tax bracket.,Tax rates,,Budget General Interest,,Government Management,17.597163944419144,4.1659306908829175,-0.236,0.013,0.715,-0.235,0.743,0.909,-19.519823
2017-01-15 03:24:53,RS1070120,107,Senate,120,2001-05-21,,39,60,To provide a reduction in State estate tax revenues in proportion to the reduction in Federal estate tax revenues.,Tax rates,,Budget General Interest,,Government Management,-70.78126649505123,-11.23181530415871,-0.17,0.801,0.257,0.021,0.744,0.899,-25.387714
2017-01-15 03:24:53,RS1070121,107,Senate,121,2001-05-21,,41,58,To establish a reserve account to provide funds for Federal education programs.,Tax rates,Education,Budget General Interest,Domestic Social Policy,Government Management,-113.23843003467954,-20.839871126381038,-0.184,-0.004,0.744,0.038,0.878,0.949,-11.867393
2017-01-15 03:24:53,RS1070122,107,Senate,122,2001-05-21,,39,60,"To strike all marginal rate tax cuts except for the establishment of the 10 percent rate and strike all estate and gift tax provisions taking effect after 2006 in order to provide funds to strengthen social security, extend the solvency of the Social Secrity Trust Funds, maintain progressivity in the social security benefit system, continue to lift more seniors out of poverty, extend the solvency of the Medicare Trust Funds, and provide prescription drug benefits.",Tax rates,Social Security,Budget General Interest,Domestic Social Policy,Government Management,-24.82751836060637,-4.588813745563699,-0.204,0.476,0.352,0.082,0.744,0.899,-20.380924
