id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2
RS1110464,111,Senate,464,2010-03-24,,58,41,To restore to the States the right to protect consumers from usurious lenders.,Public Health,,Domestic Social Policy,Budget General Interest,Social Welfare,10.492802406997452,0.5353666118157757,-0.088,-0.388,0.664,-0.366
RS1110465,111,Senate,465,2010-03-24,,57,41,"Ben S. Bernanke, of New Jersey, to be Chairman of the Board of Governors of the Federal Reserve System for a term of four years",Public Health,,Domestic Social Policy,Budget General Interest,Social Welfare,5.706681554326104,0.18457416704226182,-0.056,-0.135,0.667,-0.676
RS1110466,111,Senate,466,2010-03-24,,43,56,In the nature of a substitute.,Public Health,,Domestic Social Policy,Budget General Interest,Social Welfare,426.25745585366064,42.275488129512404,-0.099,0.076,-0.737,0.01
RS1110467,111,Senate,467,2010-03-24,,58,41,In the nature of a substitute.,Public Health,Education,Domestic Social Policy,Budget General Interest,Social Welfare,-36.18509523302828,-1.2544783331559899,-0.035,0.012,0.732,0.117
RS1110468,111,Senate,468,2010-03-24,,40,59,"A bill to promote the financial stability of the United States by improving accountability and transparency in the financial system, to end ""too big to fail"", to protect the American taxpayer by ending bailouts, to protect consumers from abusive financial services practices, and for other purposes.",Public Health,Welfare,Domestic Social Policy,Budget General Interest,Social Welfare,5.301039311110947,-0.24069896068888905,-0.001,-0.246,-0.659,0.719
RS1110469,111,Senate,469,2010-03-24,,56,42,"A bill to promote the financial stability of the United States by improving accountability and transparency in the financial system, to end ""too big to fail"", to protect the American taxpayer by ending bailouts, to protect consumers from abusive financial services practices, and for other purposes.",Public Health,,Domestic Social Policy,Budget General Interest,Social Welfare,-37.363617484560976,-2.7922713113420734,-0.075,0.01,0.73,0.113
RS1110470,111,Senate,470,2010-03-24,,57,42,"A bill to promote the financial stability of the United States by improving accountability and transparency in the financial system, to end ""too big to fail"", to protect the American taxpayer by ending bailouts, to protect consumers from abusive financial services practices, and for other purposes.",Public Health,Public Safety,Domestic Social Policy,Budget General Interest,Social Welfare,36.44717637077457,2.7819854041788674,-0.076,0.012,0.731,-0.116
RS1110471,111,Senate,471,2010-03-24,,58,41,To provide for National Guard support to secure the southern land border of the United States.,Public Health,,Domestic Social Policy,Budget General Interest,Social Welfare,-36.18509523302828,-1.2544783331559899,-0.035,0.012,0.732,0.117
RS1110472,111,Senate,472,2010-03-24,,58,41,"To appropriate $200,000,000 to increase resources for the Department of Justice and the Judiciary to address illegal crossings of the Southwest border, with an offset.",Public Health,,Domestic Social Policy,Budget General Interest,Social Welfare,-36.18509523302828,-1.2544783331559899,-0.035,0.012,0.732,0.117
RS1110473,111,Senate,473,2010-03-24,,55,43,"To make appropriations to improve border security, with an offset from unobligated appropriations under division A of Public Law 111-5.",Public Health,Education,Domestic Social Policy,Budget General Interest,Social Welfare,-21.990045707059323,-2.1320244792918137,-0.098,0.023,0.73,0.192
RS1110474,111,Senate,474,2010-03-24,,43,55,"To require a plan for the safe, orderly, and expeditious redeployment of the United States Armed Forces from Afghanistan.",Public Health,,Domestic Social Policy,Budget General Interest,Social Welfare,10.672982500497316,1.0315873725462503,-0.093,0.039,-0.716,0.388
RS1110475,111,Senate,475,2010-03-24,,52,46,"To pay for the costs of supplemental spending by reducing waste, inefficiency, and unnecessary spending within the Federal Government.",Public Health,,Domestic Social Policy,Budget General Interest,Social Welfare,-63.89162595160661,-9.386069014886171,-0.147,0.006,0.707,0.064
RS1110476,111,Senate,476,2010-03-24,,56,42,"M. Patricia Smith, of New York, to be Solicitor for the Department of Labor",Public Health,Tax rates,Domestic Social Policy,Budget General Interest,Social Welfare,43.318607232379875,3.3165769351961107,-0.074,0.111,0.734,-0.098
RS1110477,111,Senate,477,2010-03-24,,57,41,To pay for the costs of supplemental spending by reducing Congress' own budget and disposing of unneeded Federal property and uncommitted Federal funds.,Public Health,Tax rates,Domestic Social Policy,Budget General Interest,Social Welfare,-38.59294098884753,-1.4017176395539013,-0.04,0.142,0.734,0.11
RS1110478,111,Senate,478,2010-03-24,,54,44,"Making supplemental appropriations for the fiscal year ending September 30, 2010, and for other purposes.",Public Health,Tax rates,Domestic Social Policy,Budget General Interest,Social Welfare,-12.921773346988495,-1.3886805875952177,-0.068,-0.51,0.706,0.316
RS1110479,111,Senate,479,2010-03-24,,42,56,"Making supplemental appropriations for the fiscal year ending September 30, 2010, and for other purposes.",Public Health,,Domestic Social Policy,Budget General Interest,Social Welfare,-21.158399041439555,-1.5244047309836477,-0.072,-0.001,-0.728,-0.199
